Code,Location Name,Type,Nation,Province,LATLONG,Latitude,N/S,Longitude,E/W,UTM,MGRS,National Reference,Air,Sea,Road,IWW,Rail,Pipe,HNS,NSIP,POD,GLN,National ID,APP6-B Symbol,APP6-C Symbol,Classification,Releasability,Remarks,Last Change By,Last Change,Throughput,Storage Areas
AA8194,ZNOJMO,Rail Border Crossing Point,CZE: Czech Republic,,485111N0160336E,48.85305786,N,16.05999947,E,33U 577758 5411662,33U WQ 77758 11663,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8556,BCP Rucava,Road Border Crossing Point,LVA: Latvia,,560446N0210743E,56.07944489,N,21.12861061,E,34V 508004 6214929,34V EH 08005 14929,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8557,BCP Meitene,Rail Border Crossing Point,LVA: Latvia,,562158N0233948E,56.36611176,N,23.66333389,E,34V 664509 6250012,34V FH 64510 50012,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8558,BCP Grenctale,Road Border Crossing Point,LVA: Latvia,,561745N0242008E,56.29583359,N,24.33555603,E,35V 335118 6242196,35V LC 35119 42196,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8581,BJORNFJELL BCP,Road Border Crossing Point,NOR: Norway,,682552N0180623E,68.4311142,N,18.10639,E,34W 381324 7593718,34W CA 81324 93718,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8595,HELLIGSKOGEN BCP,Road Border Crossing Point,NOR: Norway,Troms,690709N0204437E,69.11916351,N,20.74361229,E,34W 489801 7667671,34W DB 89801 67671,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8926,Z†hony RLBC,Rail Border Crossing Point,HUN: Hungary,,482407N0221152E,48.40194702,N,22.1977787,E,34U 588651 5361669,34U EU 88652 61669,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8990,Eperjeske RLBC,Rail Border Crossing Point,HUN: Hungary,,482248N0221556E,48.38000107,N,22.26555634,E,34U 593708 5359310,34U EU 93709 59311,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8991,Z†hony RDBC,Road Border Crossing Point,HUN: Hungary,,482451N0221105E,48.41416931,N,22.1847229,E,34U 587664 5363012,34U EU 87665 63013,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8993,Kelebia RLBC,Rail Border Crossing Point,HUN: Hungary,,461105N0193723E,46.1847229,N,19.62305641,E,34T 393735 5115493,34T CS 93736 15493,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8994,Tompa RDBC,Road Border Crossing Point,HUN: Hungary,,461037N0193451E,46.17694473,N,19.58083534,E,34T 390461 5114686,34T CS 90462 14686,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8996,Rîszke RLBC,Rail Border Crossing Point,HUN: Hungary,,461109N0200100E,46.18583298,N,20.01666641,E,34T 424113 5115165,34T DS 24114 15165,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8997,Rîszke RDBC,Road Border Crossing Point,HUN: Hungary,,461037N0195857E,46.17694473,N,19.98250198,E,34T 421464 5114210,34T DS 21464 14211,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8998,Barcs RDBC,Road Border Crossing Point,HUN: Hungary,,455701N0172716E,45.95027924,N,17.45444489,E,33T 690221 5091452,33T XL 90222 91452,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA8999,Berzence RDBC,Road Border Crossing Point,HUN: Hungary,,461108N0170517E,46.1855545,N,17.08805656,E,33T 661140 5116783,33T XM 61140 16784,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9001,Dr†vaszabolcs RDBC,Road Border Crossing Point,HUN: Hungary,,454657N0181150E,45.78250122,N,18.19722176,E,34T 282127 5073702,34T BR 82128 73703,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9002,GyÇkÇnyes RLBC,Rail Border Crossing Point,HUN: Hungary,,461449N0165713E,46.24694443,N,16.95361328,E,33T 650597 5123340,33T XM 50597 23340,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9003,Letenye RDBC,Road Border Crossing Point,HUN: Hungary,,462506N0164213E,46.41833496,N,16.70361328,E,33T 630915 5141938,33T XM 30916 41939,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9004,Magyarb¢ly RLBC,Rail Border Crossing Point,HUN: Hungary,,455015N0182833E,45.83750153,N,18.47583389,E,34T 303978 5079091,34T CR 03978 79091,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9005,Murakereszt£r RLBC,Rail Border Crossing Point,HUN: Hungary,,462246N0165600E,46.37944412,N,16.93333435,E,33T 648674 5138023,33T XM 48675 38024,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9006,Udvar RDBC,Road Border Crossing Point,HUN: Hungary,,455340N0183916E,45.89444733,N,18.65444565,E,34T 318034 5084994,34T CR 18035 84995,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9007,Balassagyarmat RDBC,Road Border Crossing Point,HUN: Hungary,,480500N0191835E,48.08333206,N,19.3097229,E,34U 374117 5326944,34U CU 74118 26944,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9008,B†nrÇve RLBC,Rail Border Crossing Point,HUN: Hungary,,481756N0202142E,48.29888916,N,20.36166763,E,34U 452659 5349718,34U DU 52659 49718,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9009,B†nrÇve RDBC,Road Border Crossing Point,HUN: Hungary,,481850N0202121E,48.31388855,N,20.35583496,E,34U 452240 5351389,34U DU 52240 51389,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9010,HidasnÇmeti RLBC,Rail Border Crossing Point,HUN: Hungary,,483047N0211453E,48.51305771,N,21.24805641,E,34U 518319 5373356,34U EU 18320 73357,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9011,Kom†rom RLBC,Rail Border Crossing Point,HUN: Hungary,,474425N0180744E,47.74028015,N,18.12888908,E,34T 284763 5291426,34T BT 84764 91427,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9012,Kom†rom RDBC,Road Border Crossing Point,HUN: Hungary,,474450N0180716E,47.7472229,N,18.12111092,E,34T 284209 5292220,34T BT 84209 92220,,No,No,Yes,No,No,No,No,No,No,,,,,,,MLC 20,CENTRALLY MANAGED,43718.74056,,
AA9014,Parassapuszta RDBC,Road Border Crossing Point,HUN: Hungary,,480431N0185637E,48.07527924,N,18.94361305,E,34U 346829 5326712,34U CU 46829 26713,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9015,Rajka RLBC,Rail Border Crossing Point,HUN: Hungary,,480023N0171108E,48.00638962,N,17.18555641,E,33U 663008 5319321,33U XP 63008 19322,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9016,Rajka RDBC,Road Border Crossing Point,HUN: Hungary,,480057N0171120E,48.01583481,N,17.18888855,E,33U 663227 5320378,33U XP 63227 20378,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9017,Hegyeshalom RLBC,Rail Border Crossing Point,HUN: Hungary,,475532N0170729E,47.92555618,N,17.12472343,E,33T 658718 5310211,33T XP 58719 10211,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9018,Hegyeshalom RDBC,Road Border Crossing Point,HUN: Hungary,,475539N0170556E,47.92750168,N,17.0988884,E,33T 656783 5310374,33T XP 56783 10374,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9019,S†toralja£jhely RLBC,Rail Border Crossing Point,HUN: Hungary,,482308N0213954E,48.38555527,N,21.66500092,E,34U 549235 5359368,34U EU 49235 59368,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9020,S†toralja£jhely RDBC,Road Border Crossing Point,HUN: Hungary,,482402N0214040E,48.40055466,N,21.67777824,E,34U 550166 5361043,34U EU 50166 61044,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9021,Somosk?£jfalu RLBC,Rail Border Crossing Point,HUN: Hungary,,480925N0194926E,48.15694427,N,19.82389069,E,34U 412534 5334412,34U DU 12535 34413,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9022,Salg¢tarj†n RDBC,Road Border Crossing Point,HUN: Hungary,,481003N0195303E,48.16749954,N,19.88416862,E,34U 417034 5335519,34U DU 17034 35519,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9023,Szob RLBC,Rail Border Crossing Point,HUN: Hungary,,474902N0185253E,47.8172226,N,18.88139153,E,34T 341407 5298158,34T CT 41407 98159,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9024,TornyosnÇmeti RDBC,Rail Border Crossing Point,HUN: Hungary,,483152N0211553E,48.53111267,N,21.26472282,E,34U 519543 5375367,34U EU 19544 75368,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9025,V†mosszabadi RDBC,Road Border Crossing Point,HUN: Hungary,,474756N0173843E,47.79888916,N,17.64527893,E,33T 698084 5297336,33T XN 98085 97337,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9026,?rt†nd RDBC,Road Border Crossing Point,HUN: Hungary,,470709N0214759E,47.11916733,N,21.79972458,E,34T 560663 5218717,34T ET 60664 18717,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9027,Biharkeresztes RLBC,Rail Border Crossing Point,HUN: Hungary,,470807N0214431E,47.13527679,N,21.74194527,E,34T 556264 5220464,34T ET 56264 20464,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9028,?gerd?major RLBC,Rail Border Crossing Point,HUN: Hungary,,474812N0222818E,47.80333328,N,22.47166824,E,34T 610195 5295490,34T FT 10195 95490,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9029,Csengersima RDBC,Road Border Crossing Point,HUN: Hungary,,475351N0224839E,47.8975029,N,22.81083488,E,34T 635345 5306494,34T FU 35345 06495,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9030,Ny°r†br†ny RLBC,Rail Border Crossing Point,HUN: Hungary,,473141N0220043E,47.5280571,N,22.01194382,E,34T 576172 5264343,34T ET 76172 64344,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9031,Lîkîsh†za RLBC,Rail Border Crossing Point,HUN: Hungary,,462536N0211449E,46.42666626,N,21.24694443,E,34T 518973 5141484,34T ES 18974 41485,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9032,Gyula RDBC,Road Border Crossing Point,HUN: Hungary,,463727N0211953E,46.6241684,N,21.33139038,E,34T 525370 5163453,34T ES 25370 63454,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9033,Nagylak RDBC,Road Border Crossing Point,HUN: Hungary,,461020N0204309E,46.17222214,N,20.71916771,E,34T 478322 5113221,34T DS 78322 13221,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9034,Kîtegy†n RLBC,Rail Border Crossing Point,HUN: Hungary,,464527N0212909E,46.75749969,N,21.48583412,E,34T 537102 5178331,34T ES 37102 78331,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9035,RÇdics RDBC,Road Border Crossing Point,HUN: Hungary,,463536N0162724E,46.5933342,N,16.45666695,E,33T 611580 5161004,33T XM 11581 61005,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9036,Tornyiszentmikl¢s RDBC,Road Border Crossing Point,HUN: Hungary,,463013N0163146E,46.50361252,N,16.52944565,E,33T 617348 5151140,33T XM 17349 51141,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9037,Sopron RDBC,Road Border Crossing Point,HUN: Hungary,,474256N0163250E,47.7155571,N,16.54722404,E,33T 616047 5285845,33T XN 16047 85846,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9038,Sopron RLBC,Rail Border Crossing Point,HUN: Hungary,,474136N0163037E,47.69333649,N,16.5102787,E,33T 613324 5283321,33T XN 13325 83321,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9039,Sopron/GYSEV RLBC,Rail Border Crossing Point,HUN: Hungary,,474210N0163212E,47.70277786,N,16.53666687,E,33T 615284 5284409,33T XN 15284 84410,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9040,K?szeg RDBC,Road Border Crossing Point,HUN: Hungary,,472434N0162841E,47.40944672,N,16.47805595,E,33T 611507 5251724,33T XN 11508 51725,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9041,K¢ph†za RDBC,Road Border Crossing Point,HUN: Hungary,,473659N0163554E,47.61639023,N,16.59833527,E,33T 620108 5274902,33T XN 20108 74902,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9042,Szentgotthard RLBC,Rail Border Crossing Point,HUN: Hungary,,465733N0161552E,46.95916748,N,16.26444435,E,33T 596202 5201402,33T WN 96203 01402,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9043,Szentgotth†rd RDBC,Road Border Crossing Point,HUN: Hungary,,465906N0161617E,46.98500061,N,16.27138901,E,33T 596684 5204281,33T WN 96685 04282,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9044,Bucsu RDBC,Road Border Crossing Point,HUN: Hungary,,471347N0162617E,47.22972107,N,16.43805695,E,33T 608858 5231695,33T XN 08859 31696,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9045,Fert?£jlak RLBC,Rail Border Crossing Point,HUN: Hungary,,474101N0165309E,47.68361282,N,16.88583565,E,33T 641530 5282858,33T XN 41530 82858,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9055,Esztergom RDBC,Road Border Crossing Point,HUN: Hungary,,474800N0184312E,47.80000305,N,18.72000122,E,34T 329270 5296588,34T CT 29270 96589,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9133,SVK-UKR NEMECKE BXP,Road Border Crossing Point,SVK: Slovakia,,483925N0221553E,48.65694427,N,22.26472282,E,34U 593137 5390092,34U EU 93138 90093,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9134,SVK-HUN MILHOST BXP,Road Border Crossing Point,SVK: Slovakia,,483156N0211515E,48.53222275,N,21.25416756,E,34U 518763 5375488,34U EU 18764 75488,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9135,SVK-HUN SAHY BXP,Road Border Crossing Point,SVK: Slovakia,,480328N0185753E,48.0577774,N,18.96472359,E,34U 348350 5324725,34U CU 48350 24726,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9137,SVK-HUN RUSOVCE BXP,Road Border Crossing Point,SVK: Slovakia,,480059N0171023E,48.01638794,N,17.17305565,E,33U 662044 5320406,33U XP 62045 20407,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9138,SVK-AUT JAROVCE BXP,Road Border Crossing Point,SVK: Slovakia,,480411N0170434E,48.06972122,N,17.07611084,E,33U 654656 5326134,33U XP 54656 26135,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9141,SVK-CZE KUTY BXP,Road Border Crossing Point,SVK: Slovakia,,484045N0165911E,48.6791687,N,16.98639107,E,33U 646216 5393695,33U XP 46217 93695,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9142,SVK-CZE DRIETOMA BXP,Road Border Crossing Point,SVK: Slovakia,,485703N0175357E,48.95083618,N,17.89916801,E,33U 712248 5426041,33U YQ 12249 26041,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9144,SVK-POL SKALITE BXP,Rail Border Crossing Point,SVK: Slovakia,,493027N0185741E,49.50749969,N,18.96139145,E,34U 352416 5485871,34U CV 52417 85872,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9145,SVK-POL TRSTENA BXP,Road Border Crossing Point,SVK: Slovakia,,492425N0193928E,49.40694427,N,19.65777969,E,34U 402630 5473561,34U DV 02630 73562,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9223,IKLA / AINA?I BCP,Road Border Crossing Point,EST: Estonia,,575234N0242320E,57.87611389,N,24.38888931,E,35V 345149 6417906,35V LE 45150 17906,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9224,VALGA / VALKA BCP,Rail Border Crossing Point,EST: Estonia,,574633N0260149E,57.77583313,N,26.03027725,E,35V 442323 6404166,35V ME 42324 04166,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9225,KOIDULA BCP,Rail Border Crossing Point,EST: Estonia,,575013N0273641E,57.83694458,N,27.61139107,E,35V 536302 6410720,35V NE 36303 10721,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9226,NARVA BCP,Rail Border Crossing Point,EST: Estonia,,592234N0281148E,59.37611008,N,28.19666672,E,35V 567997 6582544,35V NF 67998 82545,,No,No,Yes,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9268,GRONOWO RDBC,Road Border Crossing Point,POL: Poland,,542546N0195242E,54.42944717,N,19.87833595,E,34U 427235 6031882,34U DF 27236 31883,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9269,GRZECHOTKI RDBC,Road Border Crossing Point,POL: Poland,,542440N0200354E,54.41111374,N,20.06500053,E,34U 439317 6029666,34U DF 39318 29666,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9270,BEZLEDY RDBC,Road Border Crossing Point,POL: Poland,,541929N0204354E,54.32472229,N,20.73166847,E,34U 482548 6019684,34U DF 82548 19685,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9271,GO?DAP RDBC,Road Border Crossing Point,POL: Poland,,541944N0221346E,54.32888794,N,22.2294445,E,34U 579950 6020811,34U EF 79951 20812,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9272,KU?NICA RDBC,Road Border Crossing Point,POL: Poland,,532843N0233841E,53.47861099,N,23.64472389,E,34U 675501 5928770,34U FE 75501 28770,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9273,ZUBKI RDBC,Rail Border Crossing Point,POL: Poland,,530126N0234527E,53.02388763,N,23.7575016,E,34U 684934 5878484,34U FD 84935 78484,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9274,BOBROWNIKI RDBC,Road Border Crossing Point,POL: Poland,,530217N0235123E,53.03805542,N,23.85639,E,34U 691502 5880319,34U FD 91503 80320,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9275,BIALOWIEZA RDBC,Road Border Crossing Point,POL: Poland,,523526N0234716E,52.5905571,N,23.78777885,E,34U 688834 5830375,34U FD 88834 30375,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9276,PO?OWCE RDBC,Road Border Crossing Point,POL: Poland,,522224N0231849E,52.37333298,N,23.31361198,E,34U 657495 5805081,34U FD 57495 05082,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9277,KUKURYKI RDBC,Road Border Crossing Point,POL: Poland,,520154N0233303E,52.0316658,N,23.55083466,E,34U 674978 5767631,34U FC 74978 67632,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9278,TERESPOL RDBC,Road Border Crossing Point,POL: Poland,,515919N0233807E,51.98861313,N,23.6352787,E,34U 680943 5763051,34U FC 80944 63051,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9279,S?AWATYCZE RDBC,Road Border Crossing Point,POL: Poland,,514104N0233646E,51.68444443,N,23.61277962,E,34U 680612 5729174,34U FC 80613 29174,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9280,DOROHUSK RDBC,Road Border Crossing Point,POL: Poland,,510655N0235338E,51.11527634,N,23.89389038,E,34U 702541 5666627,34U GB 02541 66627,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9281,ZOSIN RDBC,Road Border Crossing Point,POL: Poland,,504808N0241625E,50.80222321,N,24.27361107,E,35U 307892 5631374,35U LS 07893 31375,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9282,HREBENNE RDBC,Road Border Crossing Point,POL: Poland,,501159N0234545E,50.19972229,N,23.76250076,E,34U 697145 5564489,34U FA 97145 64490,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9283,KORCZOWA RDBC,Road Border Crossing Point,POL: Poland,,495147N0231759E,49.86305618,N,23.29972267,E,34U 665274 5525941,34U FA 65275 25941,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9284,PRZEMY?L RDBC,Rail Border Crossing Point,POL: Poland,,494150N0225031E,49.69722366,N,22.84194565,E,34U 632830 5506595,34U FA 32830 06596,,No,No,No,No,Yes,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9285,MEDYKA RDBC,Road Border Crossing Point,POL: Poland,,494212N0230833E,49.70333481,N,23.14249992,E,34U 654483 5507850,34U FA 54484 07850,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9286,KROSCIENKO RDBC,Road Border Crossing Point,POL: Poland,,492234N0225429E,49.37611008,N,22.90805817,E,34U 638502 5471018,34U FV 38502 71018,,No,No,Yes,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9343,Sea BCP Molas,IWW (Canal/River) Border Crossing Point,LTU: Lithuania,,554226N0210738E,55.70722198,N,21.12722206,E,34U 507994 6173502,34U EG 07994 73502,LTU,No,Yes,No,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9344,Sea BCP Pilis,IWW (Canal/River) Border Crossing Point,LTU: Lithuania,,554203N0210742E,55.70083618,N,21.12833405,E,34U 508065 6172791,34U EG 08066 72791,LTU,No,Yes,No,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9345,Sea BCP Malku ilanka,IWW (Canal/River) Border Crossing Point,LTU: Lithuania,,554146N0210803E,55.69611359,N,21.13416672,E,34U 508433 6172266,34U EG 08433 72267,LTU,No,Yes,No,No,No,No,No,No,No,,,,,,,,CENTRALLY MANAGED,43718.74056,,
AA9399,Skuodas RDBCP,Road Border Crossing Point,LTU: Lithuania,,561656N0213046E,56.28222275,N,21.51277924,E,34V 531747 6237609,34V EH 31747 37609,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9400,Butinge RDBCP,Road Border Crossing Point,LTU: Lithuania,,560438N0210738E,56.07722092,N,21.12722206,E,34V 507918 6214681,34V EH 07919 14682,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9401,Buknaiciai RDBCP,Road Border Crossing Point,LTU: Lithuania,,562401N0222105E,56.40028,N,22.35138893,E,34V 583406 6251450,34V EH 83407 51450,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9402,Kalviai RDBCP,Road Border Crossing Point,LTU: Lithuania,,562158N0234022E,56.36611176,N,23.67277908,E,34V 665092 6250034,34V FH 65093 50035,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9403,Salociai RDBCP,Road Border Crossing Point,LTU: Lithuania,,561738N0242021E,56.29388809,N,24.33916664,E,35V 335333 6241971,35V LC 35334 41971,,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9404,Germaniskis RDBCP,Road Border Crossing Point,LTU: Lithuania,,562207N0243949E,56.36861038,N,24.66361237,E,35V 355689 6249556,35V LC 55690 49557,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9405,Suvainiskis RDBCP,Road Border Crossing Point,LTU: Lithuania,,561039N0251425E,56.17750168,N,25.24027824,E,35V 390760 6227228,35V LC 90760 27229,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
AA9406,Obeliai RDBCP,Road Border Crossing Point,LTU: Lithuania,,560017N0255331E,56.0047226,N,25.89194679,E,35V 430903 6207159,35V MC 30903 07159,LTU,No,No,Yes,No,No,No,No,No,No,,,,,,,LTU - LVA Internal EU Border,CENTRALLY MANAGED,43718.74056,,
